sprint,ticket,description,story_points,Status,engineer
Q1-S1,PROJ1-520,Paid Impressions in 2022 not lining up with Platform metrics,2,DONE,Engineer 1
Q1-S1,PROJ1-515,Convert Data Stored in the S3 bucket into a SQL Table.,1,DONE,Engineer 2
Q1-S1,PROJ1-497,Monthly Report - BAU,3,DONE,Engineer 1
Q1-S1,PROJ1-499,BAU DE Support Q1-24-S1,2,DONE,Engineer 1
Q1-S1,PROJ1-499,BAU DE Support Q1-24-S1,1,DONE,Engineer 3
Q1-S1,PROJ1-491,S1-Q4-24 Compliance requests 01/03-01/16,2,DONE,Engineer 1
Q1-S1,PROJ1-485,S1-Q1-24 Sprint Airflow Support 01/03-01/16,2,DONE,Engineer 3
Q1-S1,PROJ1-453,Need Redshift Credentials for CDP Warehouse Sync API,3,DONE,Engineer 4
Q1-S2,PROJ1-538,SPIKE - Understand differences between lithium and next web,2,DONE,Engineer 4
Q1-S2,PROJ1-536,Redshift Serverless POC: Tableau extract testing,2,DONE,Engineer 1
Q1-S2,PROJ1-532,Braze Email Metrics for Email Cohorts (Campaigns),2,DONE,Engineer 3
Q1-S2,PROJ1-528,Visits and PVs by Last Touch,1,DONE,Engineer 1
Q1-S2,PROJ1-522,SPIKE - CMS API review,5,DONE,Engineer 4
Q1-S2,PROJ1-521,SQL Jan24 Data - extra characters,2,DONE,Engineer 3
Q1-S2,PROJ1-519,Historical leads data in Braze,5,DONE,Engineer 4
Q1-S2,PROJ1-513,SPIKE - Identify data collected from CMS in Redshift,5,DONE,Engineer 4
Q1-S2,PROJ1-511,Document the deletion process for GDPR / CCPA,2,DONE,Engineer 1
Q1-S2,PROJ1-500,BAU DE Support Q1-24-S2,2,DONE,Engineer 1
Q1-S2,PROJ1-500,BAU DE Support Q1-24-S2,5,DONE,Engineer 4
Q1-S2,PROJ1-500,BAU DE Support Q1-24-S2,1,DONE,Engineer 3
Q1-S2,PROJ1-492,S2-Q4-24 Compliance requests 01/17-01/30,5,DONE,Engineer 1
Q1-S2,PROJ1-486,S2-Q1-24 Sprint Airflow Support 01/17-01/30,2,DONE,Engineer 3
Q1-S2,PROJ1-468,DTC Widget Data View,5,DONE,Engineer 4
Q1-S2,PROJ1-461,Braze Email Metrics for Email Cohorts,5,DONE,Engineer 3
Q1-S2,PROJ1-444,Braze welcome journeys have completely stopped sending.,5,DONE,Engineer 4
